
[28.11.2020 01:00:55]: Wellington International Airport (NZWN) [ARNZ-NZWN-Wellington]: New Zealand, 
[28.11.2020 01:00:55]: NOT FOUND: assets-cipieres-cones. Stopped at: cones
[28.11.2020 01:00:55]: Kristiansand Kjevik (ENCN) [at-airport-encn-kjevik-WMod]: , 
[28.11.2020 01:00:55]: Stord Sorstokken (ENSO) [at-airport-enso-stord-sorstokken]: , 
[28.11.2020 01:00:55]: Quatam River (CQRA) [athena-airport-cqra-quatam]: Canada, British Columbia
[28.11.2020 01:00:55]: NOT FOUND: aucklandharbourbridge. Stopped at: aucklandharbourbridge
[28.11.2020 01:00:55]: Cape Shanck Airport (YGHB) [aussimulations-yghb-capeschanck]: Australia, Victoria
[28.11.2020 01:00:55]: NOT FOUND: vlegion-aamipark. Stopped at: aamipark
[28.11.2020 01:00:55]: NOT FOUND: vlegion-eurekamel. Stopped at: eurekamel
[28.11.2020 01:00:55]: NOT FOUND: vlegion-marvelmel. Stopped at: marvelmel
[28.11.2020 01:00:55]: NOT FOUND: vlegion-mcgmel. Stopped at: mcgmel
[28.11.2020 01:00:55]: NOT FOUND: westgate. Stopped at: westgate
[28.11.2020 01:00:55]: Cuatro Vientos (LECU) [avaldesign-lecu]: , 
[28.11.2020 01:00:55]: Itaperuna (SDUN) [aviationandsimulation-airport-sdun-itaperuna]: , 
[28.11.2020 01:00:55]: Bømoen (ENBM) [aw-airport-enbm-bomoen]: Norway, Vestland
[28.11.2020 01:00:55]: Anda (ENSD) [aw-airport-ensd-anda]: Norway, Vestland
[28.11.2020 01:00:55]: NOT FOUND: azurpoly-aerial-tpm-aerial. Stopped at: aerial
[28.11.2020 01:00:55]: NOT FOUND: azurpoly-tpm-scenery. Stopped at: scenery
[28.11.2020 01:00:55]: Kautokeino (ENKA) [A_ENKA-Kautokeino]: Norway, 
[28.11.2020 01:00:55]: Setermoen (ENSQ) [A_ENSQ_Setermoen]: Norway, 
[28.11.2020 01:00:55]: Kattleberg (ESAV) [ba-esav-scenery]: Sweden, 
[28.11.2020 01:00:55]: Backamo (ESGA) [ba-esgascenery]: Sweden, 
[28.11.2020 01:00:55]: Trollhattan (ESGT) [ba-esgt-simple]: Sweden, 
[28.11.2020 01:00:55]: Dead Cow Lakebed Airstrip (5NM) [badd-airport-5nm-deadcowlakebedairstrip]: United States, Nevada
[28.11.2020 01:00:55]: Johnson Creek Airport (3U2) [baddweapon-airport-3u2-johnsoncreekairport]: Usa, Idaho
[28.11.2020 01:00:55]: Hidden Splendor Airstrip (U660) [baddweapon-airport-u660-hiddensplendorairstrip-v1-1]: Usa, Utah
[28.11.2020 01:00:55]: Mexican Mountain Airstrip (U692) [baddweapon-airport-u692-mexicanmountainairstrip]: Usa, Utah
[28.11.2020 01:00:55]: NOT FOUND: baddweapon-scenery-alaskawaterheightfix. Stopped at: alaskawaterheightfix
[28.11.2020 01:00:55]: NOT FOUND: baddweapon-scenery-icelandoverhaul-v1-5-2. Stopped at: 2
[28.11.2020 01:00:55]: Bagby (EGNG) [bagby-bagby]: Uk, North Yorkshire
[28.11.2020 01:00:55]: Ag1481 Glacier De La Chiaupe (1481) [bagolu-alps-altiports]: France, Savoie
[28.11.2020 01:00:55]: Altisurface Du Glacier Du Dome Du Gouter (7424) [bagolu-alps-altiports]: France, 
[28.11.2020 01:00:55]: Altiports Les Vaugellas (7329) [bagolu-alps-altiports]: France, Savoie
[28.11.2020 01:00:55]: Altiport Du Col De Cenise (7421) [bagolu-alps-altiports]: France, 
[28.11.2020 01:00:55]: Altiport Du Glacier D'Argentière (7422) [bagolu-alps-altiports]: France, 
[28.11.2020 01:00:55]: Altiport Du Glacier De Talèfre (7423) [bagolu-alps-altiports]: France, 
[28.11.2020 01:00:55]: Altisurface Du Glacier Du Tacul (7425) [bagolu-alps-altiports]: France, 
[28.11.2020 01:00:55]: Glacier Du Tour (7426) [bagolu-alps-altiports]: France, 
[28.11.2020 01:00:56]: Altisurface De Saint-Roch Mayères (7430) [bagolu-alps-altiports]: France, 
[28.11.2020 01:00:56]: Stehekin State (6S9) [bahnzo-6s9-stehekin]: United States, Washington
[28.11.2020 01:00:56]: Chilanko Lodge (CBX3) [bahnzo-aiport-cbx3-chilanko]: Canada, British Columbia
[28.11.2020 01:00:56]: Taber (CED5) [bahnzo-airport-ced5-taber]: Canada, Alberta
[28.11.2020 01:00:56]: NOT FOUND: barragedanieljohnson. Stopped at: barragedanieljohnson
[28.11.2020 01:00:56]: Oxford (EGTK) [benjwri-egtk]: United Kingdom, Oxfordshire
[28.11.2020 01:00:56]: NOT FOUND: bergenfix. Stopped at: bergenfix
[28.11.2020 01:00:56]: Nerlerit (BGCO) [bgco]: Greenland, 
[28.11.2020 01:00:56]: Kulusuk (BGKK) [bgkk]: Greenland, 
[28.11.2020 01:00:56]: Paamiut (BGPT) [bgpt]: Greenland, 
[28.11.2020 01:00:56]: Qaarsut (BGUQ) [bguq]: Greenland, 
[28.11.2020 01:00:56]: Birmingham Airport (EGBB) [birmingham-airport-egbb-birmingham]: , 
[28.11.2020 01:00:56]: Locher (LOCH) [bmw-airport-locher]: , 
[28.11.2020 01:00:56]: Sukhum (UGSS) [bmw-ugss-sukhum]: , 
[28.11.2020 01:00:56]: Crvena Crkva (LYBL) [boba-crvena-crkva]: Serbia, Serbia
[28.11.2020 01:00:56]: Cuprija (LYCU) [boba-dobricevo-cuprija]: Serbia, Serbia
[28.11.2020 01:00:56]: NOT FOUND: bouill-common-objects. Stopped at: objects
[28.11.2020 01:00:56]: Menorca Airport (LEMH) [bouill-lemh-rg]: Spain, 
[28.11.2020 01:00:56]: Son Sant Joan (LEPA) [bouill-lepa-fw]: Spain, 
[28.11.2020 01:00:56]: Aeropuerto Vigo Peinador (LEVX) [bouill-levx-rg]: Spain, 
[28.11.2020 01:00:56]: NOT FOUND: bpaco-lpgc. Stopped at: lpgc
[28.11.2020 01:00:56]: NOT FOUND: bpdesign-christiansoe. Stopped at: christiansoe
[28.11.2020 01:00:56]: Aeroporto Luiz Back Da Silva (SSSC) [BR-SSSC]: Brazil, Rios Grande Do Sul
[28.11.2020 01:00:56]: Limoux (L1153) [Brepaddon LF1153-Limoux]: France, 
[28.11.2020 01:00:56]: Los Llanos (LEAB) [brepaddon-airport-leab-losllanos]: Espagne, 
[28.11.2020 01:00:56]: Narbonne (LFNN) [brepaddon-airport-lfnn-narbonne V1.2]: France, 
[28.11.2020 01:00:56]: Base 105 Evreux Fauville (LFOE) [brepaddon-airport-lfoe-evreux]: France, 
[28.11.2020 01:00:56]: Lanveoc-Poulmic Navy (LFRL) [brepaddon-airport-lfrl-lanveoc]: France, 
[28.11.2020 01:00:56]: Brezno Airport (ULBRZ) [brzn]: Czech, Czech Republic
[28.11.2020 01:00:56]: NOT FOUND: buckinghampalace. Stopped at: buckinghampalace
[28.11.2020 01:00:56]: Douglas Lake (CAL3) [cal3]: Canada, -17
[28.11.2020 01:00:56]: Houston (CAM5) [cam5]: Canada, British Columbia
[28.11.2020 01:00:56]: NOT FOUND: camflyinggroup. Stopped at: camflyinggroup
[28.11.2020 01:00:56]: Campbell Airport (C81) [campbell]: United States, Illinois
[28.11.2020 01:00:56]: NOT FOUND: canarywharf. Stopped at: canarywharf
[28.11.2020 01:00:56]: NOT FOUND: Capri-F. Stopped at: F
[28.11.2020 01:00:56]: Malekolon Airstrip (MKO) [captainvtol-mko]: , 
[28.11.2020 01:00:56]: Gympie Airport (YGYM) [cartsons-ygym]: , Queensland
[28.11.2020 01:00:56]: NOT FOUND: casilda. Stopped at: casilda
[28.11.2020 01:00:56]: Beijing Capital (ZBAA) [catflirter-zbaa]: , 
[28.11.2020 01:00:56]: Yaoqiang (ZSJN) [catflirter-zsjn]: , 
[28.11.2020 01:00:56]: Jiangbei International (ZUCK) [catflirter-zuck]: China, Chongqing
